Id,Gracz1,Talia1,Gracz2,Talia2,Wynik
100001.0,A1,deck113225,A1,deck731599,PLAYER_0 WON
100002.0,A1,deck694943,A1,deck929572,PLAYER_1 WON
100003.0,A1,deck182567,A1,deck525929,PLAYER_0 WON
100004.0,A1,deck219364,A1,deck757429,PLAYER_1 WON
100005.0,A1,deck826229,A1,deck337123,PLAYER_1 WON
100006.0,A1,deck209785,A1,deck686668,PLAYER_1 WON
100007.0,A1,deck470088,A1,deck283812,PLAYER_0 WON
100008.0,A1,deck332728,A1,deck460297,PLAYER_0 WON
100009.0,A1,deck654326,A1,deck847200,PLAYER_0 WON
100010.0,A1,deck592630,A1,deck164388,PLAYER_0 WON
100011.0,A1,deck574551,A1,deck966636,PLAYER_1 WON
100012.0,A1,deck803497,A1,deck745865,PLAYER_0 WON
100013.0,A1,deck337123,A1,deck178908,PLAYER_0 WON
100014.0,A1,deck714727,A1,deck396953,PLAYER_1 WON
100015.0,A1,deck641943,A1,deck113225,PLAYER_0 WON
100016.0,A1,deck246390,A1,deck245333,PLAYER_1 WON
100017.0,A1,deck176591,A1,deck762334,PLAYER_1 WON
100018.0,A1,deck592944,A1,deck757536,PLAYER_0 WON
100019.0,A1,deck937172,A1,deck470088,PLAYER_1 WON
100020.0,A1,deck457830,A1,deck333355,PLAYER_1 WON
100021.0,A1,deck486374,A1,deck577453,PLAYER_1 WON
100022.0,A1,deck332728,A1,deck315265,PLAYER_0 WON
100023.0,A1,deck506669,A1,deck504863,PLAYER_1 WON
100024.0,A1,deck828038,A1,deck128721,PLAYER_0 WON
100025.0,A1,deck956742,A1,deck260285,PLAYER_0 WON
100026.0,A1,deck924291,A1,deck803690,PLAYER_0 WON
100027.0,A1,deck401120,A1,deck179792,PLAYER_1 WON
100028.0,A1,deck721629,A1,deck671405,PLAYER_1 WON
100029.0,A1,deck332728,A1,deck812742,PLAYER_0 WON
100030.0,A1,deck357805,A1,deck910813,PLAYER_0 WON
100031.0,A1,deck826940,A1,deck288196,PLAYER_1 WON
100032.0,A1,deck638014,A1,deck151797,PLAYER_0 WON
100033.0,A1,deck540518,A1,deck332096,PLAYER_0 WON
100034.0,A1,deck989685,A1,deck654326,PLAYER_0 WON
100035.0,A1,deck172579,A1,deck986212,PLAYER_1 WON
100036.0,A1,deck664916,A1,deck223990,PLAYER_1 WON
100037.0,A1,deck315265,A1,deck252103,PLAYER_1 WON
100038.0,A1,deck224532,A1,deck563283,PLAYER_0 WON
100039.0,A1,deck219431,A1,deck615098,PLAYER_0 WON
100040.0,A1,deck524431,A1,deck638014,PLAYER_1 WON
100041.0,A1,deck935516,A1,deck814743,PLAYER_1 WON
100042.0,A1,deck371776,A1,deck973905,PLAYER_1 WON
