,Id,Gracz1,Talia1,Gracz2,Talia2,Wynik
48,100049.0,A1,deck783787,A1,deck391141,0
86,100087.0,A1,deck302164,A1,deck664916,0
157,100158.0,A1,deck986078,A1,deck578264,0
183,100184.0,A1,deck565877,A1,deck302164,1
201,100202.0,A1,deck391141,A1,deck783787,0
242,100243.0,A1,deck822100,A1,deck762510,1
251,100252.0,A1,deck924291,A1,deck651132,1
302,100303.0,A1,deck929572,A1,deck458651,1
420,100421.0,A1,deck847742,A1,deck337123,1
473,100474.0,A1,deck783787,A1,deck411629,0
564,100565.0,A1,deck151327,A1,deck155445,0
601,100602.0,A1,deck155445,A1,deck337123,0
682,100683.0,A1,deck702239,A1,deck989685,0
807,100808.0,A1,deck550173,A1,deck155445,0
835,100836.0,A1,deck434733,A1,deck762510,1
972,100973.0,A1,deck743088,A1,deck615660,0
976,100977.0,A1,deck565877,A1,deck716913,0
977,100978.0,A1,deck952629,A1,deck525010,1
1003,101004.0,A1,deck743088,A1,deck902884,0
1011,101012.0,A1,deck302164,A1,deck681935,1
1087,101088.0,A1,deck631867,A1,deck929572,0
1114,101115.0,A1,deck126998,A1,deck151327,1
1118,101119.0,A1,deck302164,A1,deck956742,0
1198,101199.0,A1,deck834253,A1,deck525929,0
1214,101215.0,A1,deck126998,A1,deck664916,0
1252,101253.0,A1,deck956742,A1,deck126998,0
1254,101255.0,A1,deck912030,A1,deck952629,0
1291,101292.0,A1,deck716913,A1,deck155445,0
1295,101296.0,A1,deck380067,A1,deck374740,0
1314,101315.0,A1,deck736134,A1,deck989685,0
1339,101340.0,A1,deck290069,A1,deck679959,1
1359,101360.0,A1,deck716913,A1,deck295052,0
1392,101393.0,A1,deck308276,A1,deck822100,0
1424,101425.0,A1,deck739870,A1,deck929572,0
1426,101427.0,A1,deck664916,A1,deck455144,1
1461,101462.0,A1,deck302164,A1,deck374740,0
1485,101486.0,A1,deck525929,A1,deck986078,1
1550,101551.0,A1,deck834253,A1,deck952629,0
1606,101607.0,A1,deck809243,A1,deck702239,0
1616,101617.0,A1,deck648089,A1,deck550173,0
1696,101697.0,A1,deck681935,A1,deck799024,0
1709,101710.0,A1,deck197966,A1,deck374740,1
1749,101750.0,A1,deck374740,A1,deck667883,0
1771,101772.0,A1,deck651132,A1,deck964828,0
1794,101795.0,A1,deck631867,A1,deck197966,0
1850,101851.0,A1,deck834253,A1,deck418344,1
1921,101922.0,A1,deck155445,A1,deck953788,0
1943,101944.0,A1,deck371776,A1,deck809243,0
1969,101970.0,A1,deck290069,A1,deck679959,0
1971,101972.0,A1,deck151327,A1,deck455144,0
1977,101978.0,A1,deck716913,A1,deck681935,0
1987,101988.0,A1,deck483519,A1,deck525010,1
2041,102042.0,A1,deck599712,A1,deck631867,1
2043,102044.0,A1,deck295052,A1,deck956742,0
2081,102082.0,A1,deck847742,A1,deck956742,0
2088,102089.0,A1,deck912030,A1,deck739870,0
2120,102121.0,A1,deck664916,A1,deck822100,1
2151,102152.0,A1,deck956742,A1,deck964828,0
2178,102179.0,A1,deck664916,A1,deck681935,0
2231,102232.0,A1,deck565877,A1,deck736134,1
2267,102268.0,A1,deck780948,A1,deck702239,1
2310,102311.0,A1,deck550173,A1,deck822100,0
2371,102372.0,A1,deck679959,A1,deck380059,0
2390,102391.0,A1,deck912030,A1,deck799024,0
2424,102425.0,A1,deck605555,A1,deck924291,0
2506,102507.0,A1,deck550173,A1,deck374740,0
2531,102532.0,A1,deck681935,A1,deck822100,0
2573,102574.0,A1,deck366025,A1,deck986078,1
2576,102577.0,A1,deck371776,A1,deck736134,0
2589,102590.0,A1,deck578264,A1,deck681935,1
2615,102616.0,A1,deck989685,A1,deck847742,0
2641,102642.0,A1,deck151327,A1,deck371776,1
2700,102701.0,A1,deck799024,A1,deck391141,1
2820,102821.0,A1,deck371776,A1,deck953788,0
2828,102829.0,A1,deck332728,A1,deck418344,1
2877,102878.0,A1,deck483519,A1,deck651132,0
2939,102940.0,A1,deck308276,A1,deck809243,0
2943,102944.0,A1,deck799024,A1,deck651132,0
2961,102962.0,A1,deck986078,A1,deck924291,0
2989,102990.0,A1,deck956742,A1,deck458651,0
2993,102994.0,A1,deck783787,A1,deck483519,0
3022,103023.0,A1,deck783787,A1,deck525010,0
3028,103029.0,A1,deck679959,A1,deck455144,0
3077,103078.0,A1,deck989685,A1,deck565877,1
3080,103081.0,A1,deck224532,A1,deck702239,0
3107,103108.0,A1,deck679959,A1,deck822100,1
3137,103138.0,A1,deck631867,A1,deck716913,0
3170,103171.0,A1,deck391141,A1,deck380067,1
3210,103211.0,A1,deck578264,A1,deck550173,0
3233,103234.0,A1,deck224532,A1,deck371776,0
3238,103239.0,A1,deck702239,A1,deck953788,0
3240,103241.0,A1,deck458651,A1,deck834253,0
3243,103244.0,A1,deck224532,A1,deck380067,0
3245,103246.0,A1,deck155445,A1,deck434733,1
3272,103273.0,A1,deck458651,A1,deck651132,0
3310,103311.0,A1,deck565877,A1,deck371776,0
3312,103313.0,A1,deck224532,A1,deck702239,0
3319,103320.0,A1,deck989685,A1,deck418344,1
3378,103379.0,A1,deck799024,A1,deck525929,0
3402,103403.0,A1,deck418344,A1,deck834253,0
3432,103433.0,A1,deck924291,A1,deck631867,1
3458,103459.0,A1,deck458651,A1,deck371776,1
3471,103472.0,A1,deck599712,A1,deck458651,0
3480,103481.0,A1,deck679959,A1,deck483519,0
3503,103504.0,A1,deck631867,A1,deck550173,1
3510,103511.0,A1,deck308276,A1,deck834253,0
3560,103561.0,A1,deck902884,A1,deck550173,0
3677,103678.0,A1,deck525010,A1,deck151327,1
3701,103702.0,A1,deck599712,A1,deck631867,0
3770,103771.0,A1,deck716913,A1,deck986212,1
3791,103792.0,A1,deck302164,A1,deck361428,0
3862,103863.0,A1,deck739870,A1,deck707709,0
3867,103868.0,A1,deck989685,A1,deck664916,0
3896,103897.0,A1,deck986212,A1,deck736134,0
3968,103969.0,A1,deck458651,A1,deck814743,1
3971,103972.0,A1,deck979479,A1,deck809243,0
4006,104007.0,A1,deck525929,A1,deck224532,1
4023,104024.0,A1,deck979479,A1,deck290069,1
4043,104044.0,A1,deck736134,A1,deck332728,0
4066,104067.0,A1,deck458651,A1,deck664916,0
4117,104118.0,A1,deck664916,A1,deck565877,1
4142,104143.0,A1,deck979479,A1,deck391141,0
4158,104159.0,A1,deck411629,A1,deck295052,1
4233,104234.0,A1,deck743088,A1,deck599712,0
4247,104248.0,A1,deck155445,A1,deck762510,0
4256,104257.0,A1,deck780948,A1,deck550173,1
4289,104290.0,A1,deck809243,A1,deck986078,1
4344,104345.0,A1,deck631867,A1,deck525929,0
4358,104359.0,A1,deck366025,A1,deck631867,1
4365,104366.0,A1,deck822100,A1,deck366025,1
4432,104433.0,A1,deck929572,A1,deck667883,0
4453,104454.0,A1,deck783787,A1,deck458651,1
4471,104472.0,A1,deck716913,A1,deck295052,1
4494,104495.0,A1,deck912030,A1,deck525929,0
4525,104526.0,A1,deck929572,A1,deck929572,0
4552,104553.0,A1,deck956742,A1,deck964828,1
4564,104565.0,A1,deck599712,A1,deck411629,1
4647,104648.0,A1,deck743088,A1,deck605555,0
4652,104653.0,A1,deck550173,A1,deck605555,0
4655,104656.0,A1,deck371776,A1,deck664916,1
4704,104705.0,A1,deck605555,A1,deck924291,0
4713,104714.0,A1,deck458651,A1,deck956742,1
4729,104730.0,A1,deck371776,A1,deck224532,1
4741,104742.0,A1,deck743088,A1,deck290069,1
4745,104746.0,A1,deck483519,A1,deck989685,0
4766,104767.0,A1,deck126998,A1,deck743088,1
4771,104772.0,A1,deck929572,A1,deck295052,1
4828,104829.0,A1,deck762510,A1,deck834253,1
4836,104837.0,A1,deck707709,A1,deck483519,0
4848,104849.0,A1,deck679959,A1,deck924291,0
5016,105017.0,A1,deck702239,A1,deck418344,1
5040,105041.0,A1,deck458651,A1,deck952629,0
5056,105057.0,A1,deck615660,A1,deck648089,0
5065,105066.0,A1,deck809243,A1,deck337123,0
5150,105151.0,A1,deck332728,A1,deck631867,0
5228,105229.0,A1,deck953788,A1,deck197966,0
5234,105235.0,A1,deck834253,A1,deck155445,1
5317,105318.0,A1,deck565877,A1,deck371776,1
5385,105386.0,A1,deck834253,A1,deck483519,0
5466,105467.0,A1,deck605555,A1,deck924291,0
5547,105548.0,A1,deck337123,A1,deck783787,0
5581,105582.0,A1,deck434733,A1,deck986078,1
5618,105619.0,A1,deck924291,A1,deck902884,1
5624,105625.0,A1,deck736134,A1,deck986212,0
5628,105629.0,A1,deck834253,A1,deck989685,0
5657,105658.0,A1,deck716913,A1,deck391141,0
5695,105696.0,A1,deck434733,A1,deck525929,0
5711,105712.0,A1,deck366025,A1,deck736134,1
5721,105722.0,A1,deck458651,A1,deck702239,1
5726,105727.0,A1,deck679959,A1,deck361428,0
5794,105795.0,A1,deck664916,A1,deck483519,1
5840,105841.0,A1,deck332728,A1,deck371776,0
5841,105842.0,A1,deck605555,A1,deck434733,0
5922,105923.0,A1,deck651132,A1,deck707709,1
5936,105937.0,A1,deck565877,A1,deck155445,0
6022,106023.0,A1,deck455144,A1,deck565877,0
6033,106034.0,A1,deck739870,A1,deck667883,0
6037,106038.0,A1,deck912030,A1,deck366025,0
6074,106075.0,A1,deck391141,A1,deck716913,1
6096,106097.0,A1,deck361428,A1,deck834253,0
6100,106101.0,A1,deck366025,A1,deck155445,1
6205,106206.0,A1,deck374740,A1,deck224532,1
6279,106280.0,A1,deck418344,A1,deck631867,0
6389,106390.0,A1,deck615660,A1,deck337123,0
6413,106414.0,A1,deck605555,A1,deck667883,0
6438,106439.0,A1,deck290069,A1,deck295052,0
6475,106476.0,A1,deck648089,A1,deck374740,1
6486,106487.0,A1,deck615660,A1,deck762510,1
6499,106500.0,A1,deck483519,A1,deck834253,0
