Id,PLAYER_0 WON,PLAYER_1 WON
0,1,0
1,0,1
2,1,0
3,1,0
4,1,0
5,0,1
6,1,0
7,1,0
8,0,1
9,0,1
10,1,0
11,1,0
12,1,0
13,1,0
14,0,1
15,1,0
16,0,1
17,0,1
18,0,1
19,0,1
20,1,0
21,0,1
22,0,1
23,0,1
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,0,1
30,1,0
31,0,1
32,0,1
33,1,0
34,1,0
35,0,1
36,1,0
37,0,1
38,0,1
39,0,1
40,0,1
41,1,0
42,0,1
43,0,1
44,0,1
45,1,0
46,0,1
47,1,0
48,0,1
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,0,1
55,1,0
56,0,1
57,1,0
58,0,1
59,1,0
60,1,0
61,0,1
62,0,1
63,1,0
64,0,1
65,1,0
66,0,1
67,0,1
68,1,0
69,1,0
70,1,0
71,0,1
72,0,1
73,0,1
74,1,0
75,1,0
76,1,0
77,0,1
78,0,1
79,0,1
80,0,1
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,0,1
87,0,1
88,0,1
89,1,0
90,1,0
91,1,0
92,1,0
93,0,1
94,1,0
95,0,1
96,0,1
97,1,0
98,1,0
99,0,1
100,1,0
101,1,0
102,0,1
103,0,1
104,1,0
105,1,0
106,1,0
107,1,0
108,1,0
109,0,1
110,0,1
111,0,1
112,1,0
113,0,1
114,1,0
115,0,1
116,1,0
117,1,0
118,0,1
119,1,0
120,0,1
121,1,0
122,0,1
123,0,1
124,0,1
125,1,0
126,1,0
127,1,0
128,0,1
129,0,1
130,1,0
131,1,0
132,1,0
133,0,1
134,0,1
135,0,1
136,1,0
137,0,1
138,0,1
139,0,1
140,1,0
141,1,0
142,1,0
143,1,0
144,1,0
145,1,0
146,0,1
147,0,1
148,1,0
149,0,1
150,1,0
151,0,1
152,1,0
153,1,0
154,1,0
155,1,0
156,0,1
157,0,1
158,1,0
159,0,1
160,1,0
161,1,0
162,0,1
163,0,1
164,1,0
165,0,1
166,0,1
167,0,1
168,0,1
169,0,1
170,1,0
171,0,1
172,1,0
173,1,0
174,0,1
175,0,1
176,1,0
177,0,1
178,0,1
179,0,1
180,0,1
181,1,0
182,1,0
183,0,1
184,0,1
185,0,1
186,1,0
187,1,0
188,0,1
189,0,1
190,1,0
191,1,0
192,1,0
193,1,0
194,0,1
195,1,0
196,0,1
197,0,1
198,0,1
199,1,0
200,1,0
201,0,1
202,0,1
203,0,1
204,1,0
205,1,0
206,1,0
207,1,0
208,0,1
209,1,0
210,0,1
211,0,1
212,1,0
213,0,1
214,1,0
215,0,1
216,0,1
217,0,1
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,0,1
224,1,0
225,1,0
226,1,0
227,1,0
228,0,1
229,0,1
230,1,0
231,0,1
232,0,1
233,1,0
234,0,1
235,1,0
236,1,0
237,1,0
238,0,1
239,1,0
240,1,0
241,1,0
242,0,1
243,1,0
244,0,1
245,1,0
246,0,1
247,0,1
248,1,0
249,1,0
250,1,0
251,0,1
252,1,0
253,1,0
254,1,0
255,1,0
256,1,0
257,1,0
258,1,0
259,1,0
260,1,0
261,1,0
262,1,0
263,0,1
264,1,0
265,0,1
266,1,0
267,1,0
268,1,0
269,0,1
270,1,0
271,1,0
272,0,1
273,1,0
274,1,0
